policy_id,customer_id,policy_type,premium_amount,start_date,end_date,status,channel
P00001,C0966,Property,11750000,2023-03-18,2024-03-17,Active,Direct
P00002,C0340,Property,5750000,2022-04-14,2023-04-14,Active,Bancassurance
P00003,C0948,Property,11650000,2024-01-10,2025-01-09,Expired,Digital
P00004,C0051,Motor,2550000,2022-04-09,2023-04-09,Lapsed,Direct
P00005,C0056,Travel,1750000,2022-06-07,2023-06-07,Active,Agency
P00006,C0678,Property,4950000,2024-04-23,2025-04-23,Expired,Broker
P00007,C0175,Life,3700000,2022-07-31,2023-07-31,Active,Agency
P00008,C0804,Property,13300000,2022-11-12,2023-11-12,Lapsed,Broker
P00009,C0094,Property,13850000,2022-09-29,2023-09-29,Expired,Broker
P00010,C0379,Life,5600000,2023-01-26,2024-01-26,Active,Broker
P00011,C0270,Health,3600000,2023-04-22,2024-04-21,Active,Digital
P00012,C0714,Travel,600000,2024-02-10,2025-02-09,Active,Agency
P00013,C0995,Motor,4350000,2023-02-28,2024-02-28,Expired,Bancassurance
P00014,C0839,Travel,600000,2023-02-01,2024-02-01,Expired,Broker
P00015,C0587,Travel,1550000,2023-05-02,2024-05-01,Active,Broker
P00016,C0732,Motor,1800000,2024-05-24,2025-05-24,Active,Direct
P00017,C0586,Travel,1850000,2024-03-30,2025-03-30,Expired,Bancassurance
P00018,C0178,Health,7700000,2023-04-05,2024-04-04,Active,Bancassurance
P00019,C0081,Life,3900000,2023-03-10,2024-03-09,Lapsed,Bancassurance
P00020,C0328,Life,8850000,2022-09-22,2023-09-22,Active,Agency
P00021,C0334,Property,10100000,2023-07-20,2024-07-19,Active,Direct
P00022,C0806,Property,14100000,2022-01-13,2023-01-13,Expired,Direct
P00023,C0425,Travel,1650000,2022-04-26,2023-04-26,Active,Bancassurance
P00024,C0988,Travel,1400000,2024-02-16,2025-02-15,Active,Agency
P00025,C0293,Travel,1650000,2024-03-15,2025-03-15,Expired,Digital
P00026,C0498,Property,6900000,2023-11-02,2024-11-01,Expired,Direct
P00027,C0413,Property,4400000,2022-10-10,2023-10-10,Active,Direct
P00028,C0040,Travel,1500000,2023-02-16,2024-02-16,Lapsed,Digital
P00029,C0943,Life,3350000,2023-05-02,2024-05-01,Active,Digital
P00030,C0311,Health,4050000,2024-03-23,2025-03-23,Active,Digital
P00031,C0101,Property,13450000,2023-12-03,2024-12-02,Active,Bancassurance
P00032,C0793,Motor,4900000,2023-03-30,2024-03-29,Active,Digital
P00033,C0193,Property,10650000,2022-04-02,2023-04-02,Lapsed,Bancassurance
P00034,C0529,Property,12150000,2024-02-17,2025-02-16,Active,Agency
P00035,C0319,Travel,1700000,2022-03-09,2023-03-09,Expired,Broker
P00036,C0901,Life,8450000,2023-06-21,2024-06-20,Expired,Agency
P00037,C0206,Life,4350000,2024-05-02,2025-05-02,Active,Bancassurance
P00038,C0722,Health,4750000,2023-01-05,2024-01-05,Active,Digital
P00039,C0407,Motor,4400000,2023-06-02,2024-06-01,Active,Agency
P00040,C0457,Life,5600000,2023-09-01,2024-08-31,Active,Broker
P00041,C0168,Travel,1350000,2022-12-19,2023-12-19,Active,Agency
P00042,C0167,Motor,1600000,2022-02-20,2023-02-20,Expired,Bancassurance
